Melbourne,Telstra,12491,MyRepublic,32.04,0.59,626.06,894.6,41.15,69.1,0.0,2022-06-09,22:28:46.41,31.29,3785106c-8f7e-41f0-93c8-0159a96a9a18
Melbourne,Internode,2169,MyRepublic,29.73,0.43,656.84,1126.4,39.87,56.7,0.0,2022-06-09,22:29:18.00,31.58,a4a2db56-54f0-4394-b122-96bed1adb1cb
Sydney,Telstra,12492,MyRepublic,19.19,0.44,396.98,568.4,43.30,52.4,0.0,2022-06-09,22:29:45.61,27.61,c827a7bd-cfa9-4827-baae-37b5e96bc36a
Sydney,AARNet,6355,MyRepublic,19.77,5.18,577.07,852.2,42.03,50.9,0.5,2022-06-09,22:30:12.76,27.14,fd0728ff-652c-4f46-8ed8-7b92fe3ee124
Brisbane,Telstra,12493,MyRepublic,31.78,0.24,577.25,995.2,36.70,47.0,0.4,2022-06-09,22:30:42.38,29.62,1bfc3fbc-2478-469e-8862-521a3cb665b5
Brisbane,Internode,2165,MyRepublic,31.63,0.81,456.19,694.6,39.27,53.4,0.0,2022-06-09,22:31:12.86,30.48,be2dea25-de47-4687-923a-c7a3bcd741ef
Adelaide,Telstra,12495,MyRepublic,41.23,0.51,491.65,869.7,32.60,54.5,0.0,2022-06-09,22:31:45.23,32.37,3e3e9e08-8c1f-4d91-9fcd-cc80e73f4c7b
Adelaide,Internode,234,MyRepublic,39.95,0.64,609.50,1024.0,34.65,59.5,0.8,2022-06-09,22:32:17.66,32.43,288525a1-4957-4bf2-931e-f4abb706fd61
Perth,Telstra,12494,MyRepublic,70.83,0.21,684.61,1024.0,27.60,47.8,0.5,2022-06-09,22:32:49.49,31.82,bea062c9-bbc5-43da-b761-2a273ad3a780
Perth,AARNet,6153,MyRepublic,65.68,0.23,607.79,864.7,28.10,41.9,0.4,2022-06-09,22:33:21.58,32.09,dd266b40-406a-4330-84a1-d752455998e4
Auckland,Chorus Fibre Lab,28463,MyRepublic,43.71,0.21,96.07,116.1,37.41,64.7,0.0,2022-06-09,22:33:50.43,28.85,7d85b241-e94a-4177-a123-f8335b9b3a26
Auckland,MyRepublic Group Ltd,34083,MyRepublic,47.74,0.17,577.97,604.8,32.96,55.0,0.0,2022-06-09,22:34:17.94,27.51,acb3389f-139e-4ccb-9464-85e701c5a833
Tokyo,i3D.net,21569,MyRepublic,204.61,0.31,500.82,708.6,10.86,18.9,0.0,2022-06-09,22:34:53.12,35.18,7351a27e-d400-4649-8fd1-90c104f778d6
Tokyo,fdcservers.net,28910,MyRepublic,279.97,0.48,401.42,564.7,6.74,11.9,0.0,2022-06-09,22:35:28.87,35.75,ed225800-25f0-4fa6-8910-b1f979b4cc16
Singapore,i3D.net,40508,MyRepublic,148.69,0.38,427.63,548.9,12.75,18.0,0.0,2022-06-09,22:36:00.45,31.58,6ff15ba8-b1db-45c7-b9cc-c054ca113444
Singapore,GSL Networks,50344,MyRepublic,111.36,0.38,540.04,796.0,19.28,33.2,0.0,2022-06-09,22:36:33.64,33.19,6e705c88-5ebc-4fd2-87dc-d981a48e3ae9
Mumbai,Airtel Broadband,19081,MyRepublic,193.72,0.26,162.89,217.2,13.27,23.2,0.0,2022-06-09,22:37:09.57,35.93,f2af0481-e5b9-48dd-966a-ea8fdd58b22c
Mumbai,Tata Teleservices Limited,47668,MyRepublic,224.56,0.17,493.56,710.4,6.34,10.7,0.0,2022-06-09,22:37:44.21,34.63,b06d275b-e921-4f02-af57-d72018df7e4d
Berlin,Deutsche Telekom,30907,MyRepublic,338.35,0.38,492.24,645.6,7.42,12.6,0.0,2022-06-09,22:38:21.18,36.97,1df097af-62a8-4792-854c-8090dcdb6c09
Berlin,SysEleven GmbH,30593,MyRepublic,342.19,0.29,359.33,464.9,7.23,12.4,0.0,2022-06-09,22:38:58.10,36.92,0a02a07a-fa08-4fa7-a497-ee761ad7a257
Amsterdam,KPN,26996,MyRepublic,319.11,0.48,359.07,469.1,7.12,11.7,0.0,2022-06-09,22:39:34.96,36.85,0bfc4fe5-bbc5-44e9-907b-9406c18a87bd
Amsterdam,Clouvider Ltd,35058,MyRepublic,325.44,0.40,341.25,463.0,6.86,12.0,0.0,2022-06-09,22:40:11.61,36.65,b2859c44-ac07-4278-bd5e-9c2529b3f48f
London,Vodafone UK,24281,MyRepublic,312.85,1.01,520.06,736.6,5.25,9.3,0.4,2022-06-09,22:40:47.84,36.23,3999551e-1b64-404b-ae84-0e16833bd57d
London,Swish Fibre,34948,MyRepublic,310.60,0.17,561.29,780.7,6.32,11.0,0.0,2022-06-09,22:41:23.80,35.96,22bc631d-f447-4a3f-af5d-7be088065fb6
Madrid,i3D.net,40509,MyRepublic,338.18,0.41,408.13,509.2,4.30,7.5,0.0,2022-06-09,22:42:00.76,36.95,c0c5c161-25ce-4c67-85a0-5640be222422
Madrid,Avatel Telecom,37211,MyRepublic,328.60,0.33,450.62,582.8,5.98,10.2,0.0,2022-06-09,22:42:36.84,36.08,10c6b15a-12dc-44de-8326-0aefa013855a
Helsinki,Telia,14928,MyRepublic,333.90,0.70,330.74,405.6,3.68,6.1,0.0,2022-06-09,22:43:13.73,36.89,a503c0ae-a295-40c4-affc-164191daceec
Helsinki,RETN,31122,MyRepublic,327.31,0.89,451.75,631.7,4.42,5.7,0.0,2022-06-09,22:43:48.07,34.33,a510f5a2-4a34-49f6-b1a8-64a5a9fac92f
Los Angeles; CA,Frontier,14236,MyRepublic,200.65,0.25,524.39,761.7,7.80,13.5,0.0,2022-06-09,22:44:23.70,35.64,efbf190e-f038-45a4-aa3e-895e2b6f2d79
Los Angeles; CA,Spectrum,16974,MyRepublic,167.83,0.19,44.25,69.7,10.95,19.5,0.0,2022-06-09,22:44:57.89,34.19,151bedfe-0ff6-4762-969e-086cb63759cb
Chicago; IL,Frontier,14228,MyRepublic,234.65,0.26,494.38,679.9,8.46,14.2,0.0,2022-06-09,22:45:33.36,35.46,877d0d07-d48f-4aa4-865c-3898efa972b0
Chicago; IL,Windstream,17384,MyRepublic,236.68,5.82,217.27,294.7,8.04,14.4,0.0,2022-06-09,22:46:08.94,35.58,2c92ac26-cf16-40f8-ba66-63a37032364e
Dallas; TX,Frontier,14238,MyRepublic,232.79,0.44,491.82,664.3,7.74,13.1,0.0,2022-06-09,22:46:45.36,36.41,98babaf5-577e-4d5c-a794-1f2e34b2b8a9
Dallas; TX,Windstream,17386,MyRepublic,222.06,3.94,440.23,607.8,10.88,18.3,0.0,2022-06-09,22:47:19.71,34.35,2b52b9cb-57ae-4b2a-a861-f6a132e6bb51
Miami; FL,Frontier,14237,MyRepublic,265.52,0.40,508.26,679.8,7.12,11.8,0.4,2022-06-09,22:47:55.11,35.4,efab69fe-4814-4e75-906b-3f6115d4ce8e
Miami; FL,Netprotect,37499,MyRepublic,221.66,0.88,434.73,595.4,9.81,16.2,0.0,2022-06-09,22:48:30.27,35.16,03b69b96-b6cf-43f5-bfbc-f6b2560068c0
New York; NY,Spectrum,16976,MyRepublic,243.84,0.28,239.09,344.4,8.98,15.9,0.0,2022-06-09,22:49:05.59,35.31,41a00cbe-9f10-4aa4-a6a0-2c0928217c90
New York; NY,Windstream,28032,MyRepublic,230.34,0.92,375.51,534.6,8.52,14.5,0.0,2022-06-09,22:49:40.48,34.89,c8210a34-25ce-45f1-ac64-fefbfa76abb5
São Paulo,i3D.net,21568,MyRepublic,357.82,2.06,2.52,2.5,3.50,5.7,0.0,2022-06-09,22:50:12.89,32.42,bb2ff31e-e6ca-4e53-8dec-843765644b3b
São Paulo,PW Fibra Óptica,34143,MyRepublic,324.04,0.56,548.61,725.5,4.47,7.8,0.0,2022-06-09,22:50:50.59,37.7,3f915a1f-6174-42fa-b046-6a0923ed5d0b
Hong Kong,HKIX,34555,MyRepublic,136.47,0.25,544.96,762.1,13.16,22.8,0.0,2022-06-09,22:51:24.85,34.25,7f7103dc-73f0-4f3c-b9d9-5c8001dbe8d7
Hong Kong,STC,1536,MyRepublic,164.91,4.22,449.35,621.1,7.84,13.6,0.0,2022-06-09,22:51:58.61,33.77,423abd7e-ce4c-4777-a8ed-05f01838bf57
Marseille,ORANGE FRANCE,29545,MyRepublic,312.81,0.14,381.87,499.9,4.53,4.5,0.0,2022-06-09,22:52:30.45,31.83,6bbf1bfd-5cae-4b4a-9846-058ac66952d3
Marseille,LaFibre.info,4036,MyRepublic,320.02,7.46,532.00,712.7,4.90,8.1,0.0,2022-06-09,22:53:06.90,36.45,cf5a16e4-663a-465a-8e11-efe7913e6db4
Saint Petersburg,DOM.RU,2690,MyRepublic,332.83,0.28,273.06,350.8,7.00,11.4,0.0,2022-06-09,22:53:45.24,38.33,8595d087-1256-4a23-bde3-2356a2855020
Saint Petersburg,Rostelecom,2599,MyRepublic,296.88,0.34,477.51,627.4,7.76,13.3,0.0,2022-06-09,22:54:22.06,36.82,8d615166-fafa-4f9c-bfec-c3f35477c98a
Mangilao,University of Guam,11871,MyRepublic,294.09,0.44,267.81,362.8,6.19,10.8,0.8,2022-06-09,22:54:58.16,36.1,acfa7fc4-c4c2-4fd4-9a34-391471d2911b
Barrigada,Guam Department of Education,49594,MyRepublic,293.65,0.40,100.52,131.9,6.46,11.4,0.0,2022-06-09,22:55:33.97,35.81,19763b91-75f7-469e-8cff-77d1354a42d4
Seattle; WA,Lumen Technologies,49421,MyRepublic,190.80,2.46,579.32,920.2,11.29,18.7,0.0,2022-06-09,22:56:09.17,35.2,ffea916e-f141-421d-8f25-4322d21d6b8a
Seattle; WA,CenturyLink,8864,MyRepublic,194.70,0.68,148.76,205.3,13.01,21.9,0.0,2022-06-09,22:56:44.05,34.87,60fd417b-4115-4450-995d-abccf80098ef
